"customer_id","email","first_name","last_name","street_name","post_code","city","password_c","phone_number","referral_by"
73838,"nicole.brown5575@gmail.com","Nicole","Brown","395 Hurley Freeway","PA19","Gourock","t9fAVSZr!4","7841810240",80960
88846,"mary.lewis3588@gmail.com","Mary","Lewis","65811 Berry Coves","DD10","Montrose","$3rD0%cVwD","7946538171",64370
86773,"timothy.caldwell3914@gmail.com","Timothy","Caldwell","26103 Larson Brooks Suite 015","KY7","Glenrothes","E&i5BCqiwp","7165928476",87171
70790,"ian.leon9076@gmail.com","Ian","Leon","86933 Knox Bridge Apt. 708","EH1","Edinburgh","nIC&4(JwBR","7996707433",89280
61179,"norma.rodriguez0422@gmail.com","Norma","Rodriguez","323 John Inlet","PA1","Paisley","oN8W5XesU^","7521361379",58388
72530,"matthew.cross2952@gmail.com","Matthew","Cross","827 Galvan Manors Apt. 039","KY7","Glenrothes","y_77#ZqfJx","790130629",58756
97785,"robert.higgins2847@gmail.com","Robert","Higgins","14421 Jeffrey Branch Apt. 772","IV1","Inverness","@Dy90CafQ)","7845834671",83278
64738,"betty.taylor3571@gmail.com","Betty","Taylor","482 Randall Station","ML12","Biggar","R9xLvcd$&(","7533681930",90861
60209,"abigail.ellis2594@gmail.com","Abigail","Ellis","87821 Elaine Tunnel","PA1","Paisley","$2NQJdlh^a","7189539599",83470
84290,"michelle.pacheco3249@gmail.com","Michelle","Pacheco","0710 Johnson Court Apt. 032","AB22","Aberdeen","*X5Ktew&GH","7953023195",70423
64974,"randy.walker9230@gmail.com","Randy","Walker","79366 Gray Circle Suite 856","DD1","Dundee","^1aci_Ed42","7446055253",72255
90861,"christy.flores8784@gmail.com","Christy","Flores","082 Hernandez Estates","IV1","Inverness","56ZAy$Yd^g","7488067075",79997
81558,"stacy.moreno9350@gmail.com","Stacy","Moreno","59497 Cortez Prairie","DG1","Dumfries","p8EphBun#@","7362802446",64488
92284,"phillip.shepherd6664@gmail.com","Phillip","Shepherd","62682 Christopher Well Suite 719","DG1","Dumfries","(1#NRagq(t","729780759",59123
56622,"heidi.murphy8730@gmail.com","Heidi","Murphy","97050 Kathleen Islands Apt. 684","AB22","Aberdeen","^8B&1_wo8x","7802556285",71107
