seller_id,seller_store_name,supplier_email,password_s,receiving_bank,seller_rating,seller_phone_number,seller_address_street,s_post_code,s_city
24448,Gomez-Wright,gomez-wright@gmail.com,!n60VDbasH,Standard Chartered plc,1,725002225,77369 Thomas Burgs Suite 543,ML1,Motherwell
11270,Bass Group,bass group@gmail.com,S$7+Eeczvi,Tesco Bank,2,7437818362,85317 Anthony Inlet Suite 803,DG1,Dumfries
46982,"Cook, Campbell and Flores",cook- campbell and flores@gmail.com,0M28HVe0_J,Co-operative Bank plc,5,736904837,81314 Conley Turnpike,DD10,Montrose
13577,Schneider Group,schneider group@gmail.com,mTw7Gh%y)^,Tesco Bank,5,7208626901,4163 Daniel Loop,DG1,Dumfries
28428,"Ellison, Haas and Green",ellison- haas and green@gmail.com,%aVZla28N3,Standard Chartered plc,5,7994010580,04760 John Via,DD1,Dundee
20624,"Rivas, Wright and Huynh",rivas- wright and huynh@gmail.com,W)6NVRa4fg,Virgin Money UK plc,4,7815099277,200 Jessica Greens Apt. 849,KY7,Glenrothes
13712,Murray Inc,murray inc@gmail.com,N0NPd$mB!K,HSBC Holdings plc,3,7804850178,219 Michael Springs,KY1,Kirkcaldy
16147,Sanchez-Jackson,sanchez-jackson@gmail.com,0$EoCjL1_^,Tesco Bank,4,7686466614,144 Torres Harbors,AB10,Aberdeen
48534,Moran LLC,moran llc@gmail.com,*1gO9idJN),Santander UK plc,2,7812585679,039 Ford Road Apt. 047,DG6,Castle Douglas
11161,Gregory-Arnold,gregory-arnold@gmail.com,(2amIMf3v7,Barclays plc,3,7690957155,401 Valdez Creek Apt. 235,KA1,Kilmarnock
48411,"Clark, Barajas and Maldonado",clark- barajas and maldonado@gmail.com,kA&7BdtHpx,Santander UK plc,4,7954425998,9441 Smith Mill Suite 258,G1,Glasgow
15005,Mccarthy-Ross,mccarthy-ross@gmail.com,L$37tVsIhq,Santander UK plc,4,7357091189,0332 Karen Isle,EH8,Edinburgh
31902,Anderson-Torres,anderson-torres@gmail.com,XZfj6Sm2f$,HSBC Holdings plc,4,7626377713,7889 Regina Hill,KA1,Kilmarnock
26276,Lewis and Sons,lewis and sons@gmail.com,E+7Uezll15,Barclays plc,2,7189459070,706 Michael Falls Apt. 227,KY1,Kirkcaldy
39078,Bowen Inc,bowen inc@gmail.com,39Zwcg4w$5,Metro Bank plc,5,7135893458,4554 Lopez Turnpike Suite 570,EH8,Edinburgh
12333,Martinez-Marshall,martinez-marshall@gmail.com,@47gFWyh9&,NatWest Group plc,3,7551763125,491 Carter Flat Apt. 936,EH8,Edinburgh
31919,Bruce-Moore,bruce-moore@gmail.com,R%I8SVEr@p,Barclays plc,2,7240360699,924 Clayton Bridge Apt. 069,DG6,Castle Douglas
23728,"Meadows, Green and Howard",meadows- green and howard@gmail.com,o5B%y4Pk2),Standard Chartered plc,5,7961912636,1999 Morgan Cliff Apt. 325,DD1,Dundee
28850,Cunningham LLC,cunningham llc@gmail.com,%5OfOuld)3,Metro Bank plc,4,7963428588,493 Randall Mountain,DG6,Castle Douglas
33588,"Graham, Thompson and Mcknight",graham- thompson and mcknight@gmail.com,%p^0Qa^sC9,Lloyds Banking Group plc,4,7135143944,981 Christine Camp,AB10,Aberdeen
38582,Le-Patel,le-patel@gmail.com,G6PHl6ol_q,Tesco Bank,4,7351755736,6523 Page Estate Apt. 143,KA1,Kilmarnock
29623,Shannon PLC,shannon plc@gmail.com,+4BRczf$kT,Barclays plc,1,7981866635,1804 Jay Via Suite 845,EH1,Edinburgh
11448,"Brown, Russell and Scott",brown- russell and scott@gmail.com,5N9+Gjy7A_,Lloyds Banking Group plc,3,7256277223,654 Simmons Crescent,KY1,Kirkcaldy
16311,Martin and Sons,martin and sons@gmail.com,*3S#v0q454,HSBC Holdings plc,1,7585185055,129 Avery Crossroad,IV1,Inverness
43450,"Murphy, Hill and Matthews",murphy- hill and matthews@gmail.com,(wm*3WcC7r,Co-operative Bank plc,5,7389441531,71990 Leslie Fords Apt. 227,KA1,Kilmarnock
23479,Miller Inc,miller inc@gmail.com,#2^pBWDixY,NatWest Group plc,3,7577694928,490 Foster Rapids,ML1,Motherwell
41406,Wall-Porter,wall-porter@gmail.com,Oe+IEzh0!2,Barclays plc,1,7865992529,576 Tammy Track,IV1,Inverness
33983,Hayden Ltd,hayden ltd@gmail.com,T2Y*&9WtMz,Lloyds Banking Group plc,1,7962343353,274 Stephanie Isle Suite 815,G2,Glasgow
33344,Norris-Roman,norris-roman@gmail.com,54#+L*Eh@G,Metro Bank plc,4,7176795591,896 Schaefer Knolls Apt. 510,KA1,Kilmarnock
