seller_id,seller_store_name,supplier_email,password_s,receiving_bank,seller_rating,seller_phone_number,seller_address_street,s_post_code,s_city
93313,White-Payne,white-payne6819@gmail.com,_x1pZuWTb3,Standard Chartered plc,3,7348017678,936 Samantha Station Apt. 966,EH1,Edinburgh
72707,"Arellano, Johnson and Lee",arellano- johnson and lee3294@gmail.com,!9ImD&qkre,Lloyds Banking Group plc,1,7348268384,28244 Stewart Garden,ML12,Biggar
53124,"Wells, Fuller and Gilbert",wells- fuller and gilbert4994@gmail.com,%5OU(ZF9qR,Barclays plc,1,7487238787,16069 Alison Rapids Suite 024,ML12,Biggar
80005,Henson-Watson,henson-watson2356@gmail.com,#BpCjDHp9W,Tesco Bank,2,7790337637,333 Andrews Crossroad Apt. 517,PA1,Paisley
56198,"Vincent, Cole and Malone",vincent- cole and malone8611@gmail.com,%6OHPp)gwm,Santander UK plc,1,7113167583,92119 Long Views,G2,Glasgow
80133,Lewis-Solis,lewis-solis6596@gmail.com,x$_8IvP#HF,Co-operative Bank plc,5,7443635986,2095 Todd Courts,AB22,Aberdeen
99846,Jones-Shaw,jones-shaw1584@gmail.com,Q843CAyv!V,HSBC Holdings plc,1,7359662076,17474 Odom Islands Suite 274,G2,Glasgow
86026,Barton-Daniel,barton-daniel3502@gmail.com,+2IW0lb@Zj,Santander UK plc,5,7671073091,122 Luke Course,IV1,Inverness
71696,Ellis-Mack,ellis-mack0118@gmail.com,Po+8YnUPs+,HSBC Holdings plc,5,7937338300,4634 Love Plains Suite 576,DD10,Montrose
87185,"Buchanan, Bates and Stone",buchanan- bates and stone2777@gmail.com,$Pi9UPtmL8,NatWest Group plc,2,7794315675,06940 Allen Summit,IV1,Inverness
70291,"Ford, Cross and Smith",ford- cross and smith1341@gmail.com,)E2UEKitia,Lloyds Banking Group plc,2,7849855069,7094 Carrillo Skyway,EH1,Edinburgh
73495,Ford Ltd,ford ltd6690@gmail.com,84*Fejq7)h,Santander UK plc,1,7840571950,561 Bass Avenue,EH8,Edinburgh
92439,Yates Inc,yates inc8171@gmail.com,()QCuqdhP2,Lloyds Banking Group plc,3,7141699512,950 Joanna Hollow,EH1,Edinburgh
71966,Gonzalez-Owens,gonzalez-owens0283@gmail.com,$w3Y2kJ(a*,Standard Chartered plc,1,7326252987,4401 Hannah Via Apt. 514,DD1,Dundee
89634,Williams-Williams,williams-williams6560@gmail.com,^71EtbXyd&,Tesco Bank,2,7750785084,238 Nicholas Valleys,ML1,Motherwell
54179,Harrison LLC,harrison llc2541@gmail.com,$d5PBL2^o2,Lloyds Banking Group plc,4,7298681542,8790 Hampton Fort Suite 454,KA22,Ardrossan
90025,Adkins-Contreras,adkins-contreras8702@gmail.com,a)E5Zvw7!E,Barclays plc,3,7320398291,614 Philip Alley,PA1,Paisley
66615,Smith-Lewis,smith-lewis1012@gmail.com,Po)3ccZzjs,Virgin Money UK plc,5,7616066523,1534 Greene Forges Apt. 344,AB10,Aberdeen
79290,"Silva, Figueroa and Smith",silva- figueroa and smith2972@gmail.com,mr48O8cF(Q,Standard Chartered plc,2,7649077831,6561 James Station Apt. 110,PA19,Gourock
87485,Sharp LLC,sharp llc3534@gmail.com,0pTjaZo#_Q,Standard Chartered plc,2,7723679748,0636 Tracey Pines Apt. 589,ML1,Motherwell
65730,"Wilson, Smith and Dillon",wilson- smith and dillon8788@gmail.com,!1VxmuS!Nl,Barclays plc,4,7876619438,770 Jennifer Run Suite 899,AB10,Aberdeen
62274,"Anderson, Anderson and Pena",anderson- anderson and pena5997@gmail.com,j$35)OgC!R,Standard Chartered plc,4,790701082,3508 Welch Estates,AB10,Aberdeen
68292,"Jones, Holland and Nelson",jones- holland and nelson9461@gmail.com,^%0PpX(AqD,Virgin Money UK plc,4,7571061579,36913 Miranda Pines,DD10,Montrose
91718,Farmer-Duran,farmer-duran4924@gmail.com,v*Y0Gw9Jar,Virgin Money UK plc,2,7315178129,198 Williams Branch Suite 087,EH1,Edinburgh
79177,Shaw and Sons,shaw and sons1028@gmail.com,9P$Fb#$d&4,Santander UK plc,3,7327427440,9294 Lawrence Stravenue Apt. 603,IV2,Inverness
65353,Drake LLC,drake llc5231@gmail.com,#&PJtROU5y,Virgin Money UK plc,2,7710803080,935 Hinton Port,AB22,Aberdeen
